"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Off-Highway","RI","44","Newport","005","Nitrogen Oxides","CAP","1049.6760726483","TON"
"Solvent Utilization","RI","44","Kent","003","Volatile Organic Compounds","CAP","1025.47781844","TON"
"Fuel Comb. Elec. Util.","RI","44","Providence","007","Carbon Monoxide","CAP","936.441365","TON"
"Highway Vehicles","RI","44","Washington","009","Nitrogen Oxides","CAP","916.68529392","TON"
"Natural Resources","RI","44","Bristol","001","Volatile Organic Compounds","CAP","850.5347","TON"
"Off-Highway","RI","44","Multiple (portable facilities)","777","Lead","CAP/HAP","804.5938","LB"
"Off-Highway","RI","44","Providence","007","Volatile Organic Compounds","CAP","790.713617094868","TON"
"Solvent Utilization","RI","44","Washington","009","Volatile Organic Compounds","CAP","783.9648635","TON"
"Highway Vehicles","RI","44","Kent","003","Volatile Organic Compounds","CAP","696.2839415758","TON"
"Waste Disposal & Recycling","RI","44","Washington","009","Carbon Monoxide","CAP","681.479888","TON"
"Fuel Comb. Elec. Util.","RI","44","Providence","007","Nitrogen Oxides","CAP","654.67177","TON"
"Waste Disposal & Recycling","RI","44","Kent","003","Carbon Monoxide","CAP","644.439242","TON"
"Off-Highway","RI","44","Kent","003","Nitrogen Oxides","CAP","620.908349256865","TON"
"Natural Resources","RI","44","Providence","007","Carbon Monoxide","CAP","615.8627","TON"
"Off-Highway","RI","44","Washington","009","Volatile Organic Compounds","CAP","577.4186938119","TON"
"Highway Vehicles","RI","44","Washington","009","Volatile Organic Compounds","CAP","549.503308663","TON"
"Off-Highway","RI","44","Newport","005","Volatile Organic Compounds","CAP","539.6694065121","TON"
"Other Industrial Processes","RI","44","Providence","007","PM10 Primary (Filt + Cond)","CAP","533.959818","TON"
"Waste Disposal & Recycling","RI","44","Providence","007","PM10 Primary (Filt + Cond)","CAP","532.501635","TON"
"Solvent Utilization","RI","44","Newport","005","Volatile Organic Compounds","CAP","504.2396979","TON"
"Natural Resources","RI","44","Washington","009","Carbon Monoxide","CAP","499.2778","TON"
"Fuel Comb. Other","RI","44","Newport","005","Carbon Monoxide","CAP","485.0933925","TON"
"Waste Disposal & Recycling","RI","44","Providence","007","Volatile Organic Compounds","CAP","483.494893","TON"
"Fuel Comb. Other","RI","44","Providence","007","PM10 Primary (Filt + Cond)","CAP","478.60769566","TON"
"Fuel Comb. Other","RI","44","Providence","007","Volatile Organic Compounds","CAP","473.54374797","TON"
"Miscellaneous","RI","44","Washington","009","PM10 Primary (Filt + Cond)","CAP","472.43638424754","TON"
"Off-Highway","RI","44","Kent","003","Volatile Organic Compounds","CAP","467.642320062225","TON"
"Fuel Comb. Other","RI","44","Providence","007","PM2.5 Primary (Filt + Cond)","CAP","465.01389864","TON"
"Waste Disposal & Recycling","RI","44","Providence","007","PM2.5 Primary (Filt + Cond)","CAP","461.621347","TON"
"Highway Vehicles","RI","44","Newport","005","Nitrogen Oxides","CAP","460.160733312","TON"
"Fuel Comb. Industrial","RI","44","Providence","007","Nitrogen Oxides","CAP","387.253037","TON"
"Miscellaneous","RI","44","Kent","003","PM10 Primary (Filt + Cond)","CAP","385.89461885911","TON"
"Fuel Comb. Other","RI","44","Kent","003","Nitrogen Oxides","CAP","377.5608967","TON"
"Highway Vehicles","RI","44","Newport","005","Volatile Organic Compounds","CAP","336.089285289","TON"
"Highway Vehicles","RI","44","Providence","007","PM10 Primary (Filt + Cond)","CAP","333.736512558","TON"
"Miscellaneous","RI","44","Providence","007","PM2.5 Primary (Filt + Cond)","CAP","324.162151424","TON"
"Other Industrial Processes","RI","44","Providence","007","PM2.5 Primary (Filt + Cond)","CAP","318.87732220625","TON"
"Natural Resources","RI","44","Kent","003","Carbon Monoxide","CAP","318.5804","TON"
"Solvent Utilization","RI","44","Bristol","001","Volatile Organic Compounds","CAP","311.13684695","TON"
"Miscellaneous","RI","44","Newport","005","PM10 Primary (Filt + Cond)","CAP","298.9981311845","TON"
"Other Industrial Processes","RI","44","Providence","007","Carbon Monoxide","CAP","291.427827","TON"
"Fuel Comb. Other","RI","44","Washington","009","Nitrogen Oxides","CAP","280.29585848","TON"
"Miscellaneous","RI","44","Providence","007","Carbon Monoxide","CAP","276.0000076","TON"
"Storage & Transport","RI","44","Providence","007","Volatile Organic Compounds","CAP","263.40669635","TON"
"Off-Highway","RI","44","Washington","009","Lead","CAP/HAP","241.68972609","LB"
"Fuel Comb. Other","RI","44","Bristol","001","Carbon Monoxide","CAP","232.143312953","TON"
"Natural Resources","RI","44","Newport","005","Carbon Monoxide","CAP","231.7562","TON"
"Fuel Comb. Other","RI","44","Kent","003","PM10 Primary (Filt + Cond)","CAP","225.38286992","TON"
"Fuel Comb. Other","RI","44","Kent","003","Volatile Organic Compounds","CAP","223.1277808","TON"
"Fuel Comb. Other","RI","44","Kent","003","PM2.5 Primary (Filt + Cond)","CAP","221.5510885","TON"
"Fuel Comb. Other","RI","44","Newport","005","Nitrogen Oxides","CAP","217.34867435","TON"
"Fuel Comb. Industrial","RI","44","Providence","007","Carbon Monoxide","CAP","214.439953","TON"
"Fuel Comb. Other","RI","44","Providence","007","Sulfur Dioxide","CAP","214.028343879","TON"
"Fuel Comb. Other","RI","44","Washington","009","PM10 Primary (Filt + Cond)","CAP","211.87612863","TON"
"Highway Vehicles","RI","44","Bristol","001","Nitrogen Oxides","CAP","210.320749549","TON"
"Fuel Comb. Other","RI","44","Washington","009","Volatile Organic Compounds","CAP","209.24377511","TON"
"Fuel Comb. Other","RI","44","Washington","009","PM2.5 Primary (Filt + Cond)","CAP","208.877054994","TON"
"Fuel Comb. Industrial","RI","44","Washington","009","Nitrogen Oxides","CAP","202.0956382","TON"
"Other Industrial Processes","RI","44","Providence","007","Volatile Organic Compounds","CAP","194.587556","TON"
"Off-Highway","RI","44","Bristol","001","Nitrogen Oxides","CAP","174.955907686233","TON"
"Highway Vehicles","RI","44","Bristol","001","Volatile Organic Compounds","CAP","174.674744064","TON"
"Other Industrial Processes","RI","44","Washington","009","PM10 Primary (Filt + Cond)","CAP","174.6727245","TON"
"Off-Highway","RI","44","Kent","003","Lead","CAP/HAP","172.067526584","LB"
"Fuel Comb. Other","RI","44","Providence","007","Ammonia","CAP","168.385310327","TON"
"Off-Highway","RI","44","Bristol","001","Volatile Organic Compounds","CAP","160.6482754567","TON"
"Waste Disposal & Recycling","RI","44","Newport","005","Carbon Monoxide","CAP","156.479766","TON"
"Highway Vehicles","RI","44","Providence","007","PM2.5 Primary (Filt + Cond)","CAP","139.5979780977","TON"
"Highway Vehicles","RI","44","Providence","007","Ammonia","CAP","134.6721657513","TON"
"Waste Disposal & Recycling","RI","44","Providence","007","Nitrogen Oxides","CAP","129.9489268","TON"
"Off-Highway","RI","44","Providence","007","PM10 Primary (Filt + Cond)","CAP","129.034679165488","TON"
"Waste Disposal & Recycling","RI","44","Washington","009","PM10 Primary (Filt + Cond)","CAP","128.64305","TON"
"Off-Highway","RI","44","Providence","007","PM2.5 Primary (Filt + Cond)","CAP","123.22888673371","TON"
"Waste Disposal & Recycling","RI","44","Washington","009","PM2.5 Primary (Filt + Cond)","CAP","117.145032","TON"
"Off-Highway","RI","44","Newport","005","Lead","CAP/HAP","116.07697910945","LB"
"Miscellaneous","RI","44","Providence","007","Ammonia","CAP","114.1416768","TON"
"Fuel Comb. Other","RI","44","Bristol","001","Nitrogen Oxides","CAP","103.8097730552","TON"
"Highway Vehicles","RI","44","Kent","003","PM10 Primary (Filt + Cond)","CAP","100.8712479721","TON"
"Other Industrial Processes","RI","44","Kent","003","PM10 Primary (Filt + Cond)","CAP","100.586556","TON"
"Natural Resources","RI","44","Bristol","001","Carbon Monoxide","CAP","99.88909","TON"
"Off-Highway","RI","44","Providence","007","Lead","CAP/HAP","98.804264","LB"
"Fuel Comb. Industrial","RI","44","Kent","003","Nitrogen Oxides","CAP","98.4849221","TON"
"Waste Disposal & Recycling","RI","44","Providence","007","Sulfur Dioxide","CAP","97.16129122","TON"
"Petroleum & Related Industries","RI","44","Providence","007","Carbon Monoxide","CAP","96.05902","TON"
"Waste Disposal & Recycling","RI","44","Kent","003","PM10 Primary (Filt + Cond)","CAP","95.4021354","TON"
"Miscellaneous","RI","44","Washington","009","PM2.5 Primary (Filt + Cond)","CAP","94.25320895687","TON"
"Miscellaneous","RI","44","Bristol","001","PM10 Primary (Filt + Cond)","CAP","91.532324798931","TON"
"Fuel Comb. Industrial","RI","44","Washington","009","Carbon Monoxide","CAP","89.544836","TON"
"Other Industrial Processes","RI","44","Kent","003","PM2.5 Primary (Filt + Cond)","CAP","88.502968153","TON"
"Waste Disposal & Recycling","RI","44","Kent","003","PM2.5 Primary (Filt + Cond)","CAP","86.7982596","TON"
"Other Industrial Processes","RI","44","Kent","003","Carbon Monoxide","CAP","86.230485","TON"
"Miscellaneous","RI","44","Washington","009","Carbon Monoxide","CAP","83.3981696069","TON"
"Miscellaneous","RI","44","Washington","009","Ammonia","CAP","81.78447","TON"
"Other Industrial Processes","RI","44","Washington","009","PM2.5 Primary (Filt + Cond)","CAP","76.54325110025","TON"
"Fuel Comb. Other","RI","44","Newport","005","PM10 Primary (Filt + Cond)","CAP","76.144183729","TON"
"Storage & Transport","RI","44","Kent","003","Volatile Organic Compounds","CAP","75.58994958","TON"
"Fuel Comb. Elec. Util.","RI","44","Providence","007","Volatile Organic Compounds","CAP","75.027625","TON"
"Fuel Comb. Other","RI","44","Newport","005","PM2.5 Primary (Filt + Cond)","CAP","73.491505985","TON"
"Storage & Transport","RI","44","Washington","009","Volatile Organic Compounds","CAP","72.47482359","TON"
"Miscellaneous","RI","44","Providence","007","Volatile Organic Compounds","CAP","72.37966754","TON"
"Fuel Comb. Industrial","RI","44","Providence","007","Lead","CAP/HAP","71.362230384064","LB"
"Miscellaneous","RI","44","Kent","003","PM2.5 Primary (Filt + Cond)","CAP","71.01112626056","TON"
"Fuel Comb. Elec. Util.","RI","44","Providence","007","PM10 Primary (Filt + Cond)","CAP","70.32205","TON"
"Fuel Comb. Elec. Util.","RI","44","Providence","007","PM2.5 Primary (Filt + Cond)","CAP","70.250876938","TON"
"Fuel Comb. Other","RI","44","Newport","005","Volatile Organic Compounds","CAP","70.199078441","TON"
"Highway Vehicles","RI","44","Washington","009","PM10 Primary (Filt + Cond)","CAP","70.1487281669","TON"
"Waste Disposal & Recycling","RI","44","Kent","003","Volatile Organic Compounds","CAP","70.0373474","TON"
"Other Industrial Processes","RI","44","Washington","009","Carbon Monoxide","CAP","64.935199","TON"
"Fuel Comb. Other","RI","44","Kent","003","Sulfur Dioxide","CAP","60.159563779","TON"
"Fuel Comb. Industrial","RI","44","Kent","003","Carbon Monoxide","CAP","59.8531853","TON"
"Other Industrial Processes","RI","44","Newport","005","PM10 Primary (Filt + Cond)","CAP","59.6771536","TON"
"Fuel Comb. Other","RI","44","Washington","009","Sulfur Dioxide","CAP","59.601200536","TON"
"Metals Processing","RI","44","Providence","007","Lead","CAP/HAP","58.22","LB"
"Fuel Comb. Other","RI","44","Newport","005","Sulfur Dioxide","CAP","56.8126461899","TON"
"Off-Highway","RI","44","Washington","009","PM10 Primary (Filt + Cond)","CAP","55.1601737676","TON"
"Miscellaneous","RI","44","Newport","005","PM2.5 Primary (Filt + Cond)","CAP","54.556355277267","TON"
"Fuel Comb. Industrial","RI","44","Providence","007","Sulfur Dioxide","CAP","54.1328386","TON"
"Fuel Comb. Elec. Util.","RI","44","Providence","007","Ammonia","CAP","53.858945","TON"
"Waste Disposal & Recycling","RI","44","Washington","009","Volatile Organic Compounds","CAP","52.207546","TON"
"Off-Highway","RI","44","Washington","009","PM2.5 Primary (Filt + Cond)","CAP","52.102946091","TON"
"Fuel Comb. Elec. Util.","RI","44","Newport","005","Nitrogen Oxides","CAP","51.75","TON"
"Natural Resources","RI","44","Providence","007","Nitrogen Oxides","CAP","51.21622","TON"
"Other Industrial Processes","RI","44","Newport","005","PM2.5 Primary (Filt + Cond)","CAP","51.2006082","TON"
"Fuel Comb. Other","RI","44","Providence","007","Lead","CAP/HAP","48.83298112528","LB"
"Fuel Comb. Other","RI","44","Kent","003","Ammonia","CAP","48.13599755","TON"
"Other Industrial Processes","RI","44","Newport","005","Carbon Monoxide","CAP","46.945786","TON"
"Off-Highway","RI","44","Kent","003","Sulfur Dioxide","CAP","46.46900106868001","TON"
"Natural Resources","RI","44","Washington","009","Nitrogen Oxides","CAP","46.27956","TON"
