"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Miscellaneous","CT","09","Hartford","003","Lead","CAP/HAP","3.6729412578","LB"
"Miscellaneous","CT","09","New Haven","009","Lead","CAP/HAP","3.5125324178","LB"
"Miscellaneous","CT","09","Tolland","013","Nitrogen Oxides","CAP","3.48223479572","TON"
"Miscellaneous","CT","09","Litchfield","005","Sulfur Dioxide","CAP","3.44600253807","TON"
"Off-Highway","CT","09","New Haven","009","Ammonia","CAP","3.372688383576","TON"
"Waste Disposal & Recycling","CT","09","Middlesex","007","PM10 Primary (Filt + Cond)","CAP","3.3462066","TON"
"Waste Disposal & Recycling","CT","09","Windham","015","PM2.5 Primary (Filt + Cond)","CAP","3.312992","TON"
"Off-Highway","CT","09","Hartford","003","Ammonia","CAP","3.2948213240786","TON"
"Waste Disposal & Recycling","CT","09","Tolland","013","PM2.5 Primary (Filt + Cond)","CAP","3.279767","TON"
"Miscellaneous","CT","09","Fairfield","001","Lead","CAP/HAP","3.084254494","LB"
"Miscellaneous","CT","09","Windham","015","Sulfur Dioxide","CAP","2.98095127169","TON"
"Fuel Comb. Industrial","CT","09","Tolland","013","Volatile Organic Compounds","CAP","2.9433665863","TON"
"Fuel Comb. Elec. Util.","CT","09","New London","011","Lead","CAP/HAP","2.74724202","LB"
"Waste Disposal & Recycling","CT","09","Middlesex","007","PM2.5 Primary (Filt + Cond)","CAP","2.6675286","TON"
"Fuel Comb. Industrial","CT","09","Tolland","013","Sulfur Dioxide","CAP","2.4443118561","TON"
"Waste Disposal & Recycling","CT","09","New Haven","009","PM10 Primary (Filt + Cond)","CAP","2.42667952","TON"
"Fuel Comb. Industrial","CT","09","Middlesex","007","Lead","CAP/HAP","2.413805284","LB"
"Waste Disposal & Recycling","CT","09","Middlesex","007","Nitrogen Oxides","CAP","2.3789543","TON"
"Fuel Comb. Elec. Util.","CT","09","New London","011","Volatile Organic Compounds","CAP","2.3253655798","TON"
"Other Industrial Processes","CT","09","New London","011","Lead","CAP/HAP","2.282006148","LB"
"Waste Disposal & Recycling","CT","09","New Haven","009","PM2.5 Primary (Filt + Cond)","CAP","2.16465372","TON"
"Fuel Comb. Industrial","CT","09","Windham","015","Ammonia","CAP","2.123882669","TON"
"Fuel Comb. Industrial","CT","09","Litchfield","005","Lead","CAP/HAP","2.107283922","LB"
"Miscellaneous","CT","09","Fairfield","001","Sulfur Dioxide","CAP","2.0920261847","TON"
"Miscellaneous","CT","09","New Haven","009","Sulfur Dioxide","CAP","2.02720315492","TON"
"Off-Highway","CT","09","New London","011","Ammonia","CAP","1.8819643731522","TON"
"Miscellaneous","CT","09","Middlesex","007","Sulfur Dioxide","CAP","1.86605341754","TON"
"Miscellaneous","CT","09","New London","011","Sulfur Dioxide","CAP","1.7625423519","TON"
"Other Industrial Processes","CT","09","New London","011","Nitrogen Oxides","CAP","1.732314","TON"
"Fuel Comb. Elec. Util.","CT","09","New London","011","Ammonia","CAP","1.71888","TON"
"Petroleum & Related Industries","CT","09","Fairfield","001","Volatile Organic Compounds","CAP","1.69577","TON"
"Miscellaneous","CT","09","Tolland","013","Sulfur Dioxide","CAP","1.59880860832","TON"
"Fuel Comb. Elec. Util.","CT","09","Hartford","003","Volatile Organic Compounds","CAP","1.38314973358","TON"
"Fuel Comb. Industrial","CT","09","Windham","015","Lead","CAP/HAP","1.377095196","LB"
"Off-Highway","CT","09","Middlesex","007","Sulfur Dioxide","CAP","1.3684463460361","TON"
"Other Industrial Processes","CT","09","Litchfield","005","Nitrogen Oxides","CAP","1.303934","TON"
"Fuel Comb. Industrial","CT","09","Tolland","013","Ammonia","CAP","1.2679214691","TON"
"Off-Highway","CT","09","Litchfield","005","Sulfur Dioxide","CAP","1.2321599229251","TON"
"Other Industrial Processes","CT","09","New Haven","009","Lead","CAP/HAP","1.17","LB"
"Miscellaneous","CT","09","New London","011","Lead","CAP/HAP","1.1509461688","LB"
"Other Industrial Processes","CT","09","Middlesex","007","Nitrogen Oxides","CAP","1.087284","TON"
"Miscellaneous","CT","09","Hartford","003","Nitrogen Oxides","CAP","1.0436922717","TON"
"Fuel Comb. Industrial","CT","09","Tolland","013","Lead","CAP/HAP","1.031921802","LB"
"Off-Highway","CT","09","Litchfield","005","Ammonia","CAP",".98696857565","TON"
"Waste Disposal & Recycling","CT","09","Litchfield","005","Nitrogen Oxides","CAP",".9364761","TON"
"Other Industrial Processes","CT","09","Tolland","013","Nitrogen Oxides","CAP",".8978822","TON"
"Off-Highway","CT","09","Middlesex","007","Ammonia","CAP",".85857129829","TON"
"Miscellaneous","CT","09","Litchfield","005","Lead","CAP/HAP",".82384756358","LB"
"Off-Highway","CT","09","Windham","015","Sulfur Dioxide","CAP",".778484840054","TON"
"Fuel Comb. Elec. Util.","CT","09","Hartford","003","Sulfur Dioxide","CAP",".7487624631","TON"
"Other Industrial Processes","CT","09","Windham","015","Nitrogen Oxides","CAP",".742898","TON"
"Waste Disposal & Recycling","CT","09","Middlesex","007","Ammonia","CAP",".742079","TON"
