"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Other Industrial Processes","VT","50","Bennington","003","Carbon Monoxide","CAP","18.6108993","TON"
"Fuel Comb. Other","VT","50","Orleans","019","Ammonia","CAP","18.539298347","TON"
"Fuel Comb. Industrial","VT","50","Franklin","011","Carbon Monoxide","CAP","18.37278712","TON"
"Fuel Comb. Other","VT","50","Caledonia","005","Ammonia","CAP","18.237725424","TON"
"Off-Highway","VT","50","Bennington","003","PM10 Primary (Filt + Cond)","CAP","18.125835935922","TON"
"Miscellaneous","VT","50","Windham","025","Carbon Monoxide","CAP","18.004381319702","TON"
"Other Industrial Processes","VT","50","Lamoille","015","PM10 Primary (Filt + Cond)","CAP","17.6767208","TON"
"Highway Vehicles","VT","50","Washington","023","PM2.5 Primary (Filt + Cond)","CAP","17.46830380258","TON"
"Other Industrial Processes","VT","50","Bennington","003","PM2.5 Primary (Filt + Cond)","CAP","17.2895298","TON"
"Fuel Comb. Other","VT","50","Lamoille","015","Ammonia","CAP","16.964195512","TON"
"Off-Highway","VT","50","Bennington","003","PM2.5 Primary (Filt + Cond)","CAP","16.917161900644","TON"
"Highway Vehicles","VT","50","Rutland","021","Ammonia","CAP","16.75547034144","TON"
"Fuel Comb. Industrial","VT","50","Essex","009","PM2.5 Primary (Filt + Cond)","CAP","16.6771315837","TON"
"Highway Vehicles","VT","50","Windham","025","PM2.5 Primary (Filt + Cond)","CAP","16.4079161636","TON"
"Other Industrial Processes","VT","50","Lamoille","015","PM2.5 Primary (Filt + Cond)","CAP","16.1998991","TON"
"Fuel Comb. Industrial","VT","50","Orleans","019","PM10 Primary (Filt + Cond)","CAP","16.08482562","TON"
"Miscellaneous","VT","50","Bennington","003","Carbon Monoxide","CAP","15.916065227229","TON"
"Other Industrial Processes","VT","50","Addison","001","Carbon Monoxide","CAP","15.8491079","TON"
"Highway Vehicles","VT","50","Rutland","021","PM2.5 Primary (Filt + Cond)","CAP","15.74065942216","TON"
"Highway Vehicles","VT","50","Orleans","019","PM10 Primary (Filt + Cond)","CAP","15.35095099652","TON"
"Off-Highway","VT","50","Orange","017","PM10 Primary (Filt + Cond)","CAP","14.98263796878","TON"
"Highway Vehicles","VT","50","Chittenden","007","Sulfur Dioxide","CAP","14.97869676636","TON"
"Fuel Comb. Industrial","VT","50","Lamoille","015","Carbon Monoxide","CAP","14.95645865","TON"
"Waste Disposal & Recycling","VT","50","Rutland","021","Ammonia","CAP","14.858006","TON"
"Waste Disposal & Recycling","VT","50","Lamoille","015","Volatile Organic Compounds","CAP","14.8490334","TON"
"Miscellaneous","VT","50","Windham","025","Volatile Organic Compounds","CAP","14.7711116282639","TON"
"Highway Vehicles","VT","50","Lamoille","015","PM10 Primary (Filt + Cond)","CAP","14.7327891376","TON"
"Waste Disposal & Recycling","VT","50","Orleans","019","Ammonia","CAP","14.6735425","TON"
"Other Industrial Processes","VT","50","Chittenden","007","Volatile Organic Compounds","CAP","14.53696119","TON"
"Other Industrial Processes","VT","50","Lamoille","015","Carbon Monoxide","CAP","14.4289299","TON"
"Off-Highway","VT","50","Lamoille","015","PM10 Primary (Filt + Cond)","CAP","14.404398793673","TON"
"Fuel Comb. Other","VT","50","Rutland","021","Lead","CAP/HAP","14.2916911","LB"
"Fuel Comb. Elec. Util.","VT","50","Chittenden","007","Ammonia","CAP","14.25874","TON"
"Waste Disposal & Recycling","VT","50","Washington","023","Nitrogen Oxides","CAP","14.18807412","TON"
"Off-Highway","VT","50","Orange","017","PM2.5 Primary (Filt + Cond)","CAP","14.11712630118","TON"
"Miscellaneous","VT","50","Washington","023","Volatile Organic Compounds","CAP","13.9944506459418","TON"
"Highway Vehicles","VT","50","Franklin","011","Ammonia","CAP","13.726028460259","TON"
"Off-Highway","VT","50","Lamoille","015","PM2.5 Primary (Filt + Cond)","CAP","13.500400078873","TON"
"Waste Disposal & Recycling","VT","50","Rutland","021","Nitrogen Oxides","CAP","13.062761","TON"
"Waste Disposal & Recycling","VT","50","Caledonia","005","Volatile Organic Compounds","CAP","12.9837552","TON"
"Highway Vehicles","VT","50","Franklin","011","PM2.5 Primary (Filt + Cond)","CAP","12.7814126542","TON"
"Other Industrial Processes","VT","50","Caledonia","005","Carbon Monoxide","CAP","12.6744264","TON"
"Fuel Comb. Other","VT","50","Chittenden","007","Lead","CAP/HAP","12.56170366","LB"
"Waste Disposal & Recycling","VT","50","Windham","025","Nitrogen Oxides","CAP","12.27623618","TON"
"Fuel Comb. Industrial","VT","50","Caledonia","005","Carbon Monoxide","CAP","12.19671185","TON"
"Fuel Comb. Industrial","VT","50","Washington","023","PM10 Primary (Filt + Cond)","CAP","12.18041448","TON"
"Highway Vehicles","VT","50","Orange","017","Ammonia","CAP","12.04399891686","TON"
"Fuel Comb. Industrial","VT","50","Washington","023","PM2.5 Primary (Filt + Cond)","CAP","11.68162288","TON"
"Fuel Comb. Other","VT","50","Washington","023","Lead","CAP/HAP","11.37606404","LB"
"Highway Vehicles","VT","50","Caledonia","005","Ammonia","CAP","11.34709461075","TON"
"Waste Disposal & Recycling","VT","50","Bennington","003","Volatile Organic Compounds","CAP","11.3169528","TON"
"Other Industrial Processes","VT","50","Caledonia","005","PM2.5 Primary (Filt + Cond)","CAP","11.1004264","TON"
"Other Industrial Processes","VT","50","Orleans","019","Carbon Monoxide","CAP","11.0631956","TON"
"Other Industrial Processes","VT","50","Orange","017","Carbon Monoxide","CAP","10.95488445","TON"
"Fuel Comb. Other","VT","50","Windsor","027","Lead","CAP/HAP","10.90435684","LB"
"Waste Disposal & Recycling","VT","50","Windsor","027","Nitrogen Oxides","CAP","10.9003464","TON"
"Waste Disposal & Recycling","VT","50","Franklin","011","Nitrogen Oxides","CAP","10.8444852","TON"
"Highway Vehicles","VT","50","Addison","001","Ammonia","CAP","10.84436920846","TON"
"Miscellaneous","VT","50","Lamoille","015","Volatile Organic Compounds","CAP","10.8133055950082","TON"
"Fuel Comb. Industrial","VT","50","Washington","023","Sulfur Dioxide","CAP","10.77183686","TON"
"Storage & Transport","VT","50","Grand Isle","013","Volatile Organic Compounds","CAP","10.6345070252","TON"
"Fuel Comb. Industrial","VT","50","Rutland","021","PM10 Primary (Filt + Cond)","CAP","10.59120379","TON"
"Waste Disposal & Recycling","VT","50","Addison","001","Nitrogen Oxides","CAP","10.57421014","TON"
"Highway Vehicles","VT","50","Orange","017","PM2.5 Primary (Filt + Cond)","CAP","10.31957520008","TON"
"Highway Vehicles","VT","50","Bennington","003","Ammonia","CAP","10.31435959703","TON"
"Miscellaneous","VT","50","Lamoille","015","Carbon Monoxide","CAP","10.256456305153","TON"
"Fuel Comb. Industrial","VT","50","Orleans","019","PM2.5 Primary (Filt + Cond)","CAP","10.186278926","TON"
"Fuel Comb. Industrial","VT","50","Rutland","021","PM2.5 Primary (Filt + Cond)","CAP","9.98619522","TON"
"Fuel Comb. Industrial","VT","50","Windham","025","PM10 Primary (Filt + Cond)","CAP","9.89763135","TON"
"Highway Vehicles","VT","50","Caledonia","005","PM2.5 Primary (Filt + Cond)","CAP","9.8769998912","TON"
