"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Miscellaneous","MA","25","Berkshire","003","Sulfur Dioxide","CAP",".23611424399","TON"
"Storage & Transport","MA","25","Plymouth","023","PM2.5 Primary (Filt + Cond)","CAP",".2339","TON"
"Miscellaneous","MA","25","Franklin","011","Sulfur Dioxide","CAP",".224427477414","TON"
"Storage & Transport","MA","25","Dukes","007","Lead","CAP/HAP",".22417544","LB"
"Solvent Utilization","MA","25","Plymouth","023","Sulfur Dioxide","CAP",".2234135","TON"
"Fuel Comb. Elec. Util.","MA","25","Berkshire","003","Carbon Monoxide","CAP",".222","TON"
"Other Industrial Processes","MA","25","Hampden","013","Lead","CAP/HAP",".2201","LB"
"Fuel Comb. Elec. Util.","MA","25","Franklin","011","Carbon Monoxide","CAP",".2178","TON"
"Storage & Transport","MA","25","Franklin","011","Lead","CAP/HAP",".21352166","LB"
"Solvent Utilization","MA","25","Barnstable","001","PM10 Primary (Filt + Cond)","CAP",".2077719","TON"
"Solvent Utilization","MA","25","Barnstable","001","PM2.5 Primary (Filt + Cond)","CAP",".2062719","TON"
"Other Industrial Processes","MA","25","Worcester","027","Ammonia","CAP",".2045","TON"
"Fuel Comb. Elec. Util.","MA","25","Hampden","013","Lead","CAP/HAP",".20067916","LB"
"Metals Processing","MA","25","Norfolk","021","Nitrogen Oxides","CAP",".2006","TON"
"Petroleum & Related Industries","MA","25","Essex","009","Lead","CAP/HAP",".2","LB"
"Chemical & Allied Product Mfg","MA","25","Worcester","027","Lead","CAP/HAP",".2","LB"
"Storage & Transport","MA","25","Suffolk","025","PM10 Primary (Filt + Cond)","CAP",".19","TON"
"Metals Processing","MA","25","Middlesex","017","PM2.5 Primary (Filt + Cond)","CAP",".1837","TON"
"Fuel Comb. Elec. Util.","MA","25","Plymouth","023","Sulfur Dioxide","CAP",".1823","TON"
"Fuel Comb. Elec. Util.","MA","25","Dukes","007","PM10 Primary (Filt + Cond)","CAP",".166285328","TON"
"Fuel Comb. Elec. Util.","MA","25","Dukes","007","PM2.5 Primary (Filt + Cond)","CAP",".166285328","TON"
"Fuel Comb. Elec. Util.","MA","25","Nantucket","019","Nitrogen Oxides","CAP",".164","TON"
"Storage & Transport","MA","25","Hampden","013","Ammonia","CAP",".1634","TON"
"Other Industrial Processes","MA","25","Middlesex","017","Sulfur Dioxide","CAP",".1572","TON"
"Solvent Utilization","MA","25","Barnstable","001","Sulfur Dioxide","CAP",".1463394","TON"
"Chemical & Allied Product Mfg","MA","25","Bristol","005","Volatile Organic Compounds","CAP",".1428","TON"
"Petroleum & Related Industries","MA","25","Nantucket","019","PM2.5 Primary (Filt + Cond)","CAP",".1425","TON"
"Petroleum & Related Industries","MA","25","Nantucket","019","PM10 Primary (Filt + Cond)","CAP",".1425","TON"
