"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fuel Comb. Other","ME","23","Penobscot","019","Sulfur Dioxide","CAP","128.2202146","TON"
"Fuel Comb. Elec. Util.","ME","23","Penobscot","019","Nitrogen Oxides","CAP","126.67376","TON"
"Highway Vehicles","ME","23","Penobscot","019","PM10 Primary (Filt + Cond)","CAP","125.2798602609","TON"
"Highway Vehicles","ME","23","Piscataquis","021","Volatile Organic Compounds","CAP","125.2012622125","TON"
"Waste Disposal & Recycling","ME","23","Kennebec","011","Volatile Organic Compounds","CAP","123.642232","TON"
"Waste Disposal & Recycling","ME","23","Hancock","009","PM2.5 Primary (Filt + Cond)","CAP","123.19882","TON"
"Waste Disposal & Recycling","ME","23","Penobscot","019","Sulfur Dioxide","CAP","121.9690548","TON"
"Waste Disposal & Recycling","ME","23","Somerset","025","PM2.5 Primary (Filt + Cond)","CAP","119.58199","TON"
"Waste Disposal & Recycling","ME","23","Piscataquis","021","Carbon Monoxide","CAP","118.088318","TON"
"Fuel Comb. Elec. Util.","ME","23","Androscoggin","001","Nitrogen Oxides","CAP","117.9","TON"
"Miscellaneous","ME","23","Somerset","025","Volatile Organic Compounds","CAP","117.7285579422984","TON"
"Fuel Comb. Other","ME","23","Kennebec","011","Sulfur Dioxide","CAP","117.59131074","TON"
"Other Industrial Processes","ME","23","Cumberland","005","Volatile Organic Compounds","CAP","116.0614107","TON"
"Natural Resources","ME","23","Kennebec","011","Nitrogen Oxides","CAP","115.7625","TON"
"Miscellaneous","ME","23","Sagadahoc","023","PM2.5 Primary (Filt + Cond)","CAP","115.284455117705","TON"
"Fuel Comb. Other","ME","23","Lincoln","015","Nitrogen Oxides","CAP","115.2303488","TON"
"Fuel Comb. Industrial","ME","23","Somerset","025","Ammonia","CAP","113.45994184","TON"
"Fuel Comb. Other","ME","23","Sagadahoc","023","Nitrogen Oxides","CAP","113.19441934","TON"
"Other Industrial Processes","ME","23","Androscoggin","001","PM10 Primary (Filt + Cond)","CAP","112.7056289","TON"
"Fuel Comb. Other","ME","23","Androscoggin","001","Sulfur Dioxide","CAP","111.980381548","TON"
"Other Industrial Processes","ME","23","Aroostook","003","Carbon Monoxide","CAP","110.1758024","TON"
"Other Industrial Processes","ME","23","Penobscot","019","PM10 Primary (Filt + Cond)","CAP","109.2410414","TON"
"Other Industrial Processes","ME","23","Somerset","025","Sulfur Dioxide","CAP","108.83","TON"
"Highway Vehicles","ME","23","Kennebec","011","PM10 Primary (Filt + Cond)","CAP","107.7418421697","TON"
"Fuel Comb. Industrial","ME","23","Oxford","017","Lead","CAP/HAP","104.839494026","LB"
"Storage & Transport","ME","23","Androscoggin","001","Volatile Organic Compounds","CAP","104.577465946","TON"
"Storage & Transport","ME","23","Kennebec","011","Volatile Organic Compounds","CAP","104.0966493","TON"
"Natural Resources","ME","23","Cumberland","005","Nitrogen Oxides","CAP","103.9409","TON"
"Other Industrial Processes","ME","23","York","031","PM2.5 Primary (Filt + Cond)","CAP","103.837362683","TON"
"Miscellaneous","ME","23","Waldo","027","Volatile Organic Compounds","CAP","103.3213137358343","TON"
"Fuel Comb. Other","ME","23","Franklin","007","Nitrogen Oxides","CAP","101.8884031","TON"
"Waste Disposal & Recycling","ME","23","Waldo","027","PM10 Primary (Filt + Cond)","CAP","101.604936","TON"
"Natural Resources","ME","23","Oxford","017","Nitrogen Oxides","CAP","101.5329","TON"
"Other Industrial Processes","ME","23","Kennebec","011","PM10 Primary (Filt + Cond)","CAP","101.1074796","TON"
"Highway Vehicles","ME","23","Cumberland","005","PM2.5 Primary (Filt + Cond)","CAP","99.743354211","TON"
"Other Industrial Processes","ME","23","York","031","Carbon Monoxide","CAP","98.254005","TON"
"Miscellaneous","ME","23","Franklin","007","Carbon Monoxide","CAP","98.248238360799","TON"
"Waste Disposal & Recycling","ME","23","York","031","Nitrogen Oxides","CAP","97.497154","TON"
"Other Industrial Processes","ME","23","Washington","029","Volatile Organic Compounds","CAP","97.070215331","TON"
"Natural Resources","ME","23","York","031","Nitrogen Oxides","CAP","96.92335","TON"
"Other Industrial Processes","ME","23","Somerset","025","PM10 Primary (Filt + Cond)","CAP","93.0657509","TON"
"Natural Resources","ME","23","Hancock","009","Nitrogen Oxides","CAP","92.48687","TON"
"Fuel Comb. Industrial","ME","23","York","031","Sulfur Dioxide","CAP","92.416216132","TON"
"Waste Disposal & Recycling","ME","23","Waldo","027","PM2.5 Primary (Filt + Cond)","CAP","92.143102","TON"
"Other Industrial Processes","ME","23","Oxford","017","Sulfur Dioxide","CAP","91.26","TON"
"Fuel Comb. Other","ME","23","Cumberland","005","Ammonia","CAP","90.62233871","TON"
"Highway Vehicles","ME","23","Cumberland","005","Ammonia","CAP","89.8539702549","TON"
"Waste Disposal & Recycling","ME","23","Lincoln","015","PM10 Primary (Filt + Cond)","CAP","87.114042","TON"
"Natural Resources","ME","23","Franklin","007","Nitrogen Oxides","CAP","86.69811","TON"
"Fuel Comb. Industrial","ME","23","Washington","029","Sulfur Dioxide","CAP","83.532994681","TON"
"Off-Highway","ME","23","Piscataquis","021","Lead","CAP/HAP","83.44300136","LB"
"Miscellaneous","ME","23","Lincoln","015","Ammonia","CAP","83.28012185","TON"
"Miscellaneous","ME","23","Kennebec","011","Volatile Organic Compounds","CAP","82.342024227282","TON"
"Fuel Comb. Industrial","ME","23","Aroostook","003","Sulfur Dioxide","CAP","82.09365694","TON"
"Other Industrial Processes","ME","23","Somerset","025","Ammonia","CAP","81.74229","TON"
"Waste Disposal & Recycling","ME","23","Androscoggin","001","Volatile Organic Compounds","CAP","80.161213","TON"
"Petroleum & Related Industries","ME","23","York","031","Carbon Monoxide","CAP","80","TON"
"Storage & Transport","ME","23","Hancock","009","Volatile Organic Compounds","CAP","79.1085354","TON"
"Fuel Comb. Elec. Util.","ME","23","Somerset","025","Carbon Monoxide","CAP","79.01","TON"
"Waste Disposal & Recycling","ME","23","Lincoln","015","PM2.5 Primary (Filt + Cond)","CAP","78.944438","TON"
"Highway Vehicles","ME","23","York","031","PM2.5 Primary (Filt + Cond)","CAP","78.4578135611","TON"
"Fuel Comb. Industrial","ME","23","Franklin","007","Lead","CAP/HAP","78.091262906","LB"
"Waste Disposal & Recycling","ME","23","Franklin","007","PM10 Primary (Filt + Cond)","CAP","78.070772","TON"
"Highway Vehicles","ME","23","Androscoggin","001","PM10 Primary (Filt + Cond)","CAP","76.069737289","TON"
"Fuel Comb. Industrial","ME","23","Penobscot","019","Sulfur Dioxide","CAP","75.70869912","TON"
"Fuel Comb. Industrial","ME","23","Androscoggin","001","Sulfur Dioxide","CAP","75.478090012","TON"
