"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fuel Comb. Other","CA","06","San Bernardino","071","Carbon Monoxide","CAP","4444.898871662","TON"
"Miscellaneous","CA","06","Kings","031","Volatile Organic Compounds","CAP","4427.847374321314","TON"
"Miscellaneous","CA","06","Santa Clara","085","PM10 Primary (Filt + Cond)","CAP","4420.5043732941","TON"
"Fuel Comb. Industrial","CA","06","Shasta","089","Carbon Monoxide","CAP","4376.632737","TON"
"Miscellaneous","CA","06","Merced","047","Carbon Monoxide","CAP","4350.86434551846","TON"
"Highway Vehicles","CA","06","Mendocino","045","Carbon Monoxide","CAP","4340.0311766","TON"
"Miscellaneous","CA","06","Del Norte","015","Ammonia","CAP","4270.1761414","TON"
"Fuel Comb. Other","CA","06","Riverside","065","Carbon Monoxide","CAP","4259.122150074","TON"
"Miscellaneous","CA","06","San Diego","073","Ammonia","CAP","4252.5964457","TON"
"Miscellaneous","CA","06","San Diego","073","Volatile Organic Compounds","CAP","4229.21088888738","TON"
"Off-Highway","CA","06","Santa Cruz","087","Carbon Monoxide","CAP","4183.35687996","TON"
"Miscellaneous","CA","06","Tulare","107","Sulfur Dioxide","CAP","4182.29262850423","TON"
"Metals Processing","CA","06","San Bernardino","071","PM10 Primary (Filt + Cond)","CAP","4180.811188035","TON"
"Fuel Comb. Other","CA","06","Sonoma","097","Carbon Monoxide","CAP","4178.948804963","TON"
"Other Industrial Processes","CA","06","Kern","029","Nitrogen Oxides","CAP","4175.810269","TON"
